text,sent_makanan,sent_harga,sent_layanan,sent_lingkungan,sent_umum,,numerik_makanan,numerik_harga,numerik_layanan,numerik_lingkungan,numerik_umum
"Pindah ke tempat yg lebih gede, jumlah pengunjungnya makin gede juga...

walau Deket bgt dari rumah, ini prtama kali kesini karena liat dari luar â€¦",,,,positif,,,0,0,0,1,0
"Secara mie yang disajikan ada 2 macam, ada yang gurih (mie hompimpa) ada yang manis (mie gacoan). Keduanya ada level pedas yang bisa dipilih. Strategi penjualannya menarik khususnya bagi anak muda karena harga mienya cukup ramah dikantong â€¦",positif,positif,,,,,1,1,0,0,0
Beli mie gacoan dan dimsum take away kemasannya dg sterofoam. Pdhl foam tdk baik utk maknan panas. Sedangkan di jakarta dan surabaya menggunakan kardus mie gacoan sendiri. Knp bisa tdk sama sop nya antar kota yaa..,negatif,,,,,,2,0,0,0,0
"Lokasi baru di Kota Jember setelah sebelumnya yang berada di jalan Sumatra. Disini lebih besar dan luas tempatnya. Begitu juga parkir kendaraannya, tapi tetap masih untuk roda 2 saja, untuk roda 4 cari sendiri di bahu jalan. Selalu ramai â€¦",,,,negatif,,,0,0,0,2,0
"rasanya lebih enak daripada yg sebelumnya, dipertahankan..
layanan menggunakan sistem baru dan cukup efektif, cepet juga, toilet bersih, suasana sangat ramai pengunjungnya padahal udah tengah malam.. parkit motor cukup luas, parkir mobil agak sempit karena dipinggir jalan..",positif,,positif,positif,,,1,0,1,1,0
"Tempat yang baru ini lebih bagus, lebih luas, dan pastinya lebih rame. Sistemnya sudah update sehingga lebih terkoordinir, dari awal dateng akan dicatat nama dan di beri alat untuk ambil minuman dan dimsum secara self service, untuk mie nya â€¦",,,positif,netral,,,0,0,1,3,0
"waktu kesini keadaan rame banget, antri dan bahkan waiting list. buat dapet meja harus antri 15 menit. mungkin bisa dibenahi lagi, apalagi petugas yg manggilin cust buat masuk antrian meja masi pake mikrofon yang menurutku suaranya bahkan ga jelas",,,negatif,negatif,,,0,0,2,2,0
"tanpa antri pesan berdiri, tinggal duduk, scan barcode, pilih menu, langsung payment cashless, tempat luas parkiranpun juga luas.",,,positif,positif,,,0,0,1,1,0
"Tempatnya sih ok banget, karna baru dan luas. Cuman knp pelayanan dine in nya jadi NO BANGET! Luama kali minuman dan dimsumnya, cuma mi nya doang yang cepet. Lah dikira bisa makan pedes2 gausa minum?ðŸ¤¯ Tolong yaa diperbaiki sistemnya, karna ojol2 cepet bangett malah yg dine in terlupakan welll â€¦",,,negatif,positif,,,0,0,2,1,0
Pelayanannya cepat tempatnya lebih luas oke banget sih buat resto yang sekarang apalagiiiiii parkiran luas sat set bntgt buat masnya ngebantuin soal pelayanan 100 sihhh kamar mandi bersih,,,positif,positif,,,0,0,1,1,0
"Gacoan ga pernah salah si, bagi ku masih enak banget dan khas. Lebih suka juga sistem yg sekarang, datang, waiting list, pesen lewat barcode di meja, tinggal pilih pembayaran qris/ke kasir, udah deh tinggal nunggu pesanan diantar. ",positif,,positif,,,,1,0,1,0,0
